"Boost_Clock","Core_Speed","Manufacturer","Memory","Memory_Bus","Memory_Speed","Pixel_Rate","Process"
"1100 MHz ","1050 MHz","AMD","3072 MB ","128 Bit ","900 MHz","18 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","42 GPixel/s","28m"
"876 MHz ","705 MHz","Nvidia","12288 MB ","384 Bit ","1750 MHz","84 GPixel/s","28m"
"876 MHz ","705 MHz","Nvidia","12288 MB ","384 Bit ","1750 MHz","84 GPixel/s","28m"
"1252 MHz ","1140 MHz","Nvidia","12288 MB ","384 Bit ","1753 MHz","120 GPixel/s","28m"
"1216 MHz ","1127 MHz","Nvidia","24576 MB ","384 Bit ","1753 MHz","233 GPixel/s","28m"
"954 MHz ","902 MHz","Nvidia","6144 MB ","384 Bit ","1652 MHz","46 GPixel/s","28m"
"1089 MHz ","1000 MHz","Nvidia","24576 MB ","384 Bit ","1753 MHz","209 GPixel/s","28m"
"1089 MHz ","1000 MHz","Nvidia","12288 MB ","384 Bit ","1753 MHz","105 GPixel/s","28m"
"1216 MHz ","1127 MHz","Nvidia","12288 MB ","384 Bit ","1753 MHz","117 GPixel/s","28m"
"980 MHz ","928 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","47 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","12288 MB ","384 Bit ","1502 MHz","84 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","42 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","42 GPixel/s","28m"
"980 MHz ","937 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","47 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","42 GPixel/s","28m"
"980 MHz ","889 MHz","Nvidia","6144 MB ","384 Bit ","1750 MHz","47 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","42 GPixel/s","28m"
