"Architecture","Best_Resolution","Boost_Clock","Core_Speed","DVI_Connection","Dedicated","Direct_X","DisplayPort_Connection","HDMI_Connection","Integrated","L2_Cache","Manufacturer","Max_Power","Memory","Memory_Bandwidth","Memory_Bus","Memory_Speed","Memory_Type","Name","Notebook_GPU","Open_GL","PSU","Pixel_Rate","Power_Connector","Process","ROPs","Release_Date","Release_Price","Resolution_WxH","SLI_Crossfire","Shader","TMUs","Texture_Rate","VGA_Connection"
"Tesla G92b ","NA","NA","738 MHz","2","Yes","DX 10.0","NA","0","No","0KB","Nvidia","141 Watts","1024 MB ","64GB/sec","256 Bit ","1000 MHz","GDDR3","GeFoce GTS 150","No","3.3","450 Watt & 38 Amps","12 GPixel/s","Noe ","55m","16","01-Ma-2009 ","NA","2560x1600","Yes","4","64","47 GTexel/s","0"
"R600 XT ","1366 x 768","NA","NA","2","Yes","DX 10","NA","0","No","0KB","AMD","215 Watts","512 MB ","106GB/sec","512 Bit ","828 MHz","GDDR3","Radeo HD 2900 XT 512MB","No","3.1","550 Watt & 35 Amps","12 GPixel/s","Noe ","80m","16","14-May-2007 ","NA","2560x1600","Yes","4","16","12 GTexel/s","0"
"R600 PRO ","1366 x 768","NA","NA","2","Yes","DX 10","NA","0","No","0KB","AMD","200 Watts","512 MB ","51.2GB/sec","256 Bit ","800 MHz","GDDR3","Radeo HD 2900 Po","No","3.1","550 Watt & 35 Amps","10 GPixel/s","Noe ","80m","16","07-Dec-2007 ","NA","2560x1600","Yes","4","16","10 GTexel/s","0"
"RV630 ","1024 x 768","NA","NA","2","Yes","DX 10","NA","0","No","0KB","AMD","NA","256 MB ","36.8GB/sec","128 Bit ","1150 MHz","GDDR4","Radeo HD 2600 XT Diamod Editio","No","3.3","NA","3 GPixel/s","Noe ","65m","4","01-Jul-2007 ","NA","2560x1600","Yes","4","8","7 GTexel/s","0"
"RV630 ","1024 x 768","NA","NA","2","Yes","DX 10","NA","0","No","0KB","AMD","45 Watts","256 MB ","22.4GB/sec","128 Bit ","700 MHz","GDDR3","Radeo HD 2600 XT","No","3.1","400 Watt & 25 Amps","3 GPixel/s","Noe ","65m","4","28-Ju-2007 ","NA","2560x1600","Yes","4","8","6 GTexel/s","0"
"RV630 ","1024 x 768","NA","NA","2","Yes","DX 10","NA","0","No","0KB","AMD","50 Watts","256 MB ","35.2GB/sec","128 Bit ","1100 MHz","GDDR4","Radeo HD 2600 XT 256MB GDDR4","No","3.3","400 Watt & 26 Amps","3 GPixel/s","Noe ","65m","4","26-Ju-2007 ","NA","2560x1600","Yes","4","8","6 GTexel/s","0"
"R700 RV790 XT ","1920 x 1080","NA","870 MHz","1","Yes","DX 10.1","NA","1","No","0KB","AMD","190 Watts","2048 MB ","134.4GB/sec","256 Bit ","1050 MHz","GDDR5","Radeo HD 4890 Sapphie Vapo-X OC 2GB Editio","No","3.3","500 Watt & 37 Amps","14 GPixel/s","2x 6-pi ","55m","16","13-Jul-2009 ","NA","2560x1600","Yes","4.1","40","35 GTexel/s","1"
"R600 GT ","1024 x 768","NA","NA","2","Yes","DX 10","NA","0","No","0KB","AMD","150 Watts","256 MB ","51.2GB/sec","256 Bit ","800 MHz","GDDR3","Radeo HD 2900 GT","No","3.1","550 Watt & 30 Amps","7 GPixel/s","Noe ","80m","12","06-Nov-2007 ","NA","2560x1600","Yes","4","12","7 GTexel/s","0"
"Pitcai XT GL ","1920 x 1080","NA","NA","0","Yes","DX 11.2","NA","0","No","0KB","AMD","150 Watts","2048 MB ","160GB/sec","256 Bit ","1250 MHz","GDDR5","FiePo D300","No","4.3","500 Watt & 20 Amps","25 GPixel/s","Noe ","28m","32","18-Ja-2014 ","NA","4096x2160","Yes","5","80","62 GTexel/s","0"
"RV100 ","NA","NA","NA","NA","Yes","DX 7","NA","NA","No","0KB","AMD","32 Watts","64 MB ","2.9GB/sec","64 Bit ","366 MHz","DDR","Radeo 7000 64mb","No","1.4","NA","NA","Noe ","NA","NA","02-Ja-2001 ","NA","1600x1200","No","1","NA","NA","NA"
