"Core_Speed","Manufacturer","Memory","Memory_Bandwidth","Memory_Bus","Memory_Speed","Pixel_Rate","Process"
738,"Nvidia",1024,64,256,1000,12,55
980,"AMD",512,106,512,828,12,80
980,"AMD",512,51.2,256,800,10,80
980,"AMD",256,36.8,128,1150,3,65
980,"AMD",256,22.4,128,700,3,65
980,"AMD",256,35.2,128,1100,3,65
870,"AMD",2048,134.4,256,1050,14,55
980,"AMD",256,51.2,256,800,7,80
980,"AMD",2048,160,256,1250,25,28
980,"Nvidia",128,5.2,128,325,1,150
650,"Nvidia",6144,177.6,384,925,31,40
705,"Nvidia",5120,168,320,1050,26,28
706,"Nvidia",12288,288.4,384,1502,34,28
1050,"AMD",3072,57.6,128,900,18,28
980,"Nvidia",8192,320,512,1250,26,28
732,"Nvidia",6144,249.6,384,1300,26,28
300,"Intel",2048,34.1,128,1067,2,14
980,"AMD",256,23.4,256,730,3,150
575,"Nvidia",6144,144,384,750,26,40
575,"Nvidia",6144,144,384,750,26,40
980,"Nvidia",128,3.6,128,225,1,150
980,"Nvidia",128,5.2,128,325,1,150
300,"Intel",2048,34.1,128,1067,2,14
980,"Nvidia",128,4.4,128,275,1,150
575,"Nvidia",3072,144,384,750,26,40
300,"Intel",2048,34.1,128,1067,2,14
300,"Intel",2048,34.1,128,1067,2,14
200,"Intel",2048,25.6,128,800,4,22
980,"Nvidia",64,3.2,128,200,1,150
300,"Intel",2048,29.9,128,933,2,14
980,"Nvidia",64,3.2,128,200,1,150
980,"Nvidia",128,4.1,128,256,1,150
980,"Nvidia",64,3.6,128,225,1,150
300,"Intel",2048,34.1,128,1067,2,14
300,"Intel",2048,34.1,128,1067,2,14
980,"Nvidia",128,2.7,128,166,1,150
300,"Intel",2048,34.1,128,1067,2,14
300,"Intel",2048,34.1,128,1067,2,14
300,"Intel",2048,29.9,128,933,2,14
300,"Intel",2048,25.6,128,800,2,14
980,"Nvidia",2048,480,384,1250,147,16
300,"Intel",2048,29.9,128,933,2,14
300,"Intel",2048,29.9,128,933,2,14
980,"Nvidia",12288,547.2,96,1425,152,16
837,"Nvidia",6144,288.4,384,1502,42,28
705,"Nvidia",12288,672,384,1750,84,28
980,"Nvidia",12288,672,384,1750,88,28
705,"Nvidia",12288,672,384,1750,84,28
980,"Nvidia",12288,672,384,1750,90,28
1140,"Nvidia",12288,336.6,384,1753,120,28
1127,"Nvidia",24576,673.2,384,1753,233,28
902,"Nvidia",6144,317.2,384,1652,46,28
1000,"Nvidia",24576,673.2,384,1753,209,28
1000,"Nvidia",12288,336.6,384,1753,105,28
1127,"Nvidia",12288,336.6,384,1753,117,28
928,"Nvidia",6144,288.4,384,1502,47,28
837,"Nvidia",12288,576.8,384,1502,84,28
1000,"Nvidia",12288,384,3072,500,96,16
837,"Nvidia",6144,288.4,384,1502,42,28
1000,"Nvidia",16384,512,4096,500,128,16
837,"Nvidia",6144,288.4,384,1502,42,28
937,"Nvidia",6144,288.4,384,1502,47,28
837,"Nvidia",6144,288.4,384,1502,42,28
889,"Nvidia",6144,336,384,1750,47,28
980,"AMD",2048,28.8,128,900,8,32
837,"Nvidia",6144,288.4,384,1502,42,28
837,"Nvidia",6144,288.4,384,1502,42,28
980,"AMD",128,44.8,256,700,3,150
980,"AMD",256,4.8,128,300,2,130
980,"AMD",128,4.8,128,300,2,130
980,"AMD",16384,320,512,1250,60,28
980,"AMD",6144,264,384,1375,31,28
980,"AMD",4096,153.6,256,1200,30,28
630,"AMD",2048,28.8,128,900,5,28
980,"AMD",2048,128,256,1000,19,40
980,"AMD",1024,64,128,1000,11,40
980,"AMD",512,28.8,128,900,6,55
980,"AMD",256,22.4,128,700,4,55
980,"AMD",16384,320,512,1250,58,28
900,"AMD",12288,264,384,1375,29,28
980,"AMD",4096,147.2,256,1150,27,28
900,"AMD",6144,264,384,1375,29,28
980,"AMD",3072,264,384,1375,27,28
980,"AMD",3072,240,384,1250,23,28
980,"AMD",1024,28.8,128,900,5,40
980,"AMD",2048,34.1,128,1067,6,28
980,"AMD",2048,34.1,128,1067,7,28
980,"AMD",2048,34.1,128,1067,7,28
980,"AMD",2048,34.1,128,1067,7,28
980,"AMD",2048,34.1,128,1067,7,28
825,"AMD",6144,240,384,1250,53,28
980,"AMD",2048,108.8,256,850,12,55
980,"AMD",2048,128,256,1000,22,55
980,"AMD",2048,51.2,256,800,13,55
980,"AMD",2048,34.1,128,1067,7,28
980,"AMD",1024,63.6,256,993,10,55
980,"AMD",2048,34.1,128,1067,6,28
980,"AMD",2048,34.1,128,1067,5,28
757,"AMD",2048,34.1,128,1067,6,28
720,"AMD",2048,34.1,128,1067,6,28
980,"AMD",2048,25.6,128,800,5,28
980,"AMD",2048,34.1,128,1067,7,32
980,"AMD",2048,29.9,128,933,6,28
980,"AMD",2048,25.6,128,800,5,28
720,"AMD",2048,34.1,128,1067,7,40
980,"AMD",2048,29.9,128,933,7,28
760,"AMD",2048,34.1,128,1067,7,40
980,"AMD",2048,29.9,128,933,3,28
980,"AMD",2048,29.9,128,933,3,32
760,"AMD",2048,34.1,128,1067,7,40
980,"AMD",256,8,64,500,3,65
980,"AMD",256,6.4,64,400,2,65
980,"AMD",256,16,128,500,2,65
980,"AMD",256,6.4,64,400,2,65
980,"AMD",256,6.4,64,400,2,65
870,"AMD",1024,134.4,256,1050,14,55
1000,"AMD",1024,134.4,256,1050,16,55
980,"AMD",256,6.4,64,400,2,65
901,"AMD",1024,128,256,1000,14,55
980,"AMD",2048,230.4,512,900,24,55
960,"AMD",1024,134.4,256,1050,15,55
750,"AMD",1024,115.2,256,900,12,55
850,"AMD",1024,124.8,256,975,14,55
980,"AMD",512,115.2,256,900,12,55
780,"AMD",512,121.6,256,950,12,55
625,"AMD",2048,63.6,256,993,10,55
